account,storage updates,loading branch,loading account,loading storage,total unfolds,total unfolding time (ms),total folds,total folding time (ms)
c60d6390f60b904a332c1bf0a5aa6b2ef8457d3f,0,4,1,0,5,604,4,13
b5b3588915639bbdd85aae91f5c92aece20f0ce6,0,3,1,0,4,708,4,15
28c7b15a8e8382d403ac096ef4a4c1e4a4d1dd47,0,3,1,0,4,125,3,8
21332d9a5214f447e1f0c72c96d977a566af63a7,0,3,1,0,4,10,3,8
12a953810fef13d74ac7335915abcaa24f602904,0,4,2,0,5,593,5,582
0630f5238051809353959667bd5080b3bf734b6f,0,5,1,0,6,8,4,10
e20e337db2a00b1c37139c873b92a0aad3f468bf,1,8,1,1,10,553,5,11
625e5248f2478cd75a5c1b7b2fbcf8cc459fddd0,0,4,2,0,5,514,4,460
6644bed92228e109d603a88c85780f9d88add040,0,4,1,0,5,8,10,19
085badccf43ba06e4534b251822a1c734d07a776,0,4,2,0,5,115,4,387
a37e73b9423ed2bd1ff67fe0467066a9b13439fe,0,3,1,0,4,9,5,11
0204246378248b9855f09901174909f1cc78fb42,0,2,1,0,3,6,3,8
3b6918661577f2d44532c21cb97641808891fea0,0,5,1,0,6,436,8,28
348bc00b5f35f41eb47b928316055dade4553e2a,0,5,1,0,6,232,6,14
9e0905249ceefffb9605e034b534544684a58be6,6,23,1,6,30,443,23,55
4cf2f3728aaa65598439dc613ccbece09e32ac35,0,2,1,0,3,226,11,25
6e7637e608b51582d403b3803ae2beca8ed8b4a8,0,3,2,0,4,217,5,480
73c6af7029e714dff1f1554f88b79b335011da68,5,23,1,5,27,1068,23,51
10b620f9720c0c6460484a81c59a6297fa48f817,0,4,1,0,5,9,4,10
1597460946a7f04299d676dc9a31de6361963762,0,4,1,0,5,257,8,22
772a9a79722d0e18762d919c7f2431536cc7aaab,0,5,1,0,6,210,6,13
bd5cdd1ca9ae5f1443aec2642d43a538c32a473f,0,5,1,0,6,11,6,11
37aac646b122045e09587055b3fe45d4b48d8a52,0,3,1,0,4,543,3,9
807cf9a772d5a3f9cefbc1192e939d62f0d9bd38,0,5,1,0,6,10,10,34
d83d364fa0cddff6ffe08a4509ce71ca1f898418,0,4,1,0,5,10,6,13
f72837a9fce033d57094f52e4f88f129502fa067,0,2,1,0,3,7,2,8
e167e9ec62bf2acf61cef24bb6419969cfb26a62,0,4,1,0,5,310,4,11
14cf6d2fe3e1b326114b07d22a6f6bb59e346c67,3,8,1,3,12,25,9,19
ccbb9a0fd32f3b44da64c5c4d67a0cf2d2e9ac62,0,4,1,0,5,310,4,8
cdbf7289a61dd0811aee59220fa93fd513c0e505,0,4,2,0,5,467,4,357
abd5c408a848704a6d2f7d292fc5fc09a3efaebc,0,4,1,0,5,246,6,14
c234f44887fa9d7c17e7a4db7a8df2e9f94395b4,0,3,1,0,4,220,3,9
aae4bdf6bd0c7c01d79ade7895c6dcaa8df38014,0,4,1,0,5,9,10,21
3cacb76c72d3a002b1d3b9399f82084c6f71cfb1,0,4,1,0,5,153,5,10
54e275b19de59e0d2a2f60cb453595ccbe550624,0,4,1,0,5,333,6,12
81f199052434b1420e87a1a8e70b46c826affd0f,0,5,1,0,6,147,11,26
8f57ae7ddde63412509e71997b2438a3e6dcb763,1,7,1,1,9,242,5,12
ec3b0294ed9480adbe84e5d9adbc4d3da392d7b2,0,3,1,0,4,146,5,10
38b64d0f44fb3f1742aa7c0a5d290d6d6c9e4470,0,3,1,0,4,136,5,13
3aab6bdd15627adc2971a0d7d0c11dd997ec066c,0,3,2,0,4,7,4,228
82c0a328b14a14c91c1285a7367a439f91f0ff3f,0,4,1,0,5,451,5,9
0db7f3315cd9696e5874454958fc20f2bfb39187,0,4,1,0,5,12,5,13
ef335db66b5a77555f89e590799283a57b75e7e2,0,3,1,0,4,7,8,18
1bbf25e71ec48b84d773809b4ba55b6f4be946fb,4,17,1,7,20,1891,22,619
787b8840100d9baadd7463f4a73b5ba73b00c6ca,0,3,1,0,4,11,5,10
673ba7a07d5745a29ad53132aca1523f7b5cc11d,0,4,1,0,5,328,8,19
36394440192ae2a978e839ebb2100611858fb1cf,0,3,1,0,3,363,8,18
0dfdf1a691bb8ba1f82aa4e5014531a042bf99e9,0,4,1,0,5,478,3,8
b771f724c504b329623b0ce9199907137670600e,3,8,1,3,12,17,9,15
89088fa1c6170f4451708b5f20b74ca6bd8c568e,0,3,2,0,3,679,4,1131
b9647af523f62968cfc02bea7773e554a37d92b8,0,3,1,0,3,341,5,9
cfe384b0b08212bb28a7dbfd17dea67177f9be38,1,6,1,1,8,130,10,23
c050aeab010e7160b02bcd72ec7ce556ee0e92d7,0,3,1,0,4,355,7,18
c94c243f8fb37223f3eb2f7961f7072602a51b8b,0,4,2,0,5,10,4,361
012259c7510e65b3acad37cbb4fd67eaac24937c,0,5,1,0,6,10,12,24
f2b6623fecb00d42a6da8ef2a772a4bcbf99e38d,0,3,1,0,4,253,5,9
5dcfb74dbfe8757e63f2d8b630a95e33636a6330,0,4,1,0,5,217,4,8
85dd2e727bcce777502fcdd3e449d69e6da385f6,0,4,1,0,5,146,7,16
09b96417602ed6ac76651f7a8c4860e60e3aa6d0,0,4,1,0,5,18,12,25
3c073cd1a94137edbe3d1f4dc000e369bd97ffea,0,5,1,0,6,520,5,18
867bdc57d1b071fe5a9f670dd70b91e4269814d3,0,4,1,0,5,8,4,12
ff2f29d728dd2ec97b848817a3f15568f0a3bd5d,0,5,1,0,6,239,6,13
cf1deb0570c2f7dee8c07a7e5fa2bd4b2b96520d,17,35,1,17,53,1902,50,102
0240a8026fbf2d4f540568f6e0c5191f30abb268,0,3,1,0,3,338,9,21
c91526acb176431a01bf985192b22404b17f272b,0,2,1,0,3,4,5,7
b3b8ec60c10d935d3d5df737049a42817df6f461,0,4,1,0,5,460,4,8
2975b8e30ec64c1855dd94e1a8ecd435a323a9b0,0,2,1,0,3,5,2,9
5f3b8b32de0a77fb97067fc75e89136f3e60ff77,0,3,1,0,4,419,5,11
9ead03f7136fc6b4bdb0780b00a1c14ae5a8b6d0,0,3,1,0,4,303,4,8
b44adddbf9b19bcdd12f978df8b36723488b9b8b,5,20,1,5,24,1600,20,43
725c351c197809ad19158918802e605751bddf3a,0,5,1,0,7,12,4,9
