updates,address plainKey,account plainKeys,PatriciaContext.Branch(),PatriciaContext.Account(),PatriciaContext.Storage(),PatriciaContext.PutBranch(),L0 - Load Account/Storage,L1 - Load Account/Storage,L2 - Load Account/Storage,L3 - Load Account/Storage,L4 - Load Account/Storage,unfold/fold calls,total unfolding time (ms),total folding time (ms),total processing time (ms)
5,5,0,3,5,0,2,764/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,770/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,776/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,4,782/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,3,5,0,2,787/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,792/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,2,5,0,2,797/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,3,803/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,809/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,2,815/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,821/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,827/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,3,5,0,2,833/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,840/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,4,847/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,854/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,4,862/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,2,867/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,872/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,877/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,882/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,887/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,2,893/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,899/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,2,905/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,4,911/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,917/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,4,924/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,929/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,934/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,939/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,944/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,949/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,2,954/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,959/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,2,5,0,3,964/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,4,970/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,976/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,2,981/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,986/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,4,991/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,2,996/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,1002/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,2,1008/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,1014/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,2,1020/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,4,1026/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,1032/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,1039/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,2,1044/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,1049/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,2,5,0,3,1054/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,1060/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,1066/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,1072/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,1078/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,1084/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,2,5,0,3,1090/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,1097/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,1104/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,2,1109/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,1114/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,2,5,0,2,1119/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,3,1125/0,0/0,0/0,0/0,0/0,8,0,0,0
